Wall time,Step,Value
1690914163.7852786,7742,-0.12599416077136993
1690914178.840837,11613,-0.08823247253894806
1690914194.4180858,15484,-0.07546474039554596
1690914209.8305702,19355,-0.06121547892689705
1690914227.1989,23226,-0.03919580951333046
1690914246.1055357,27097,-0.03528280183672905
1690914260.8848534,30968,-0.04072579741477966
1690914275.3348577,34839,-0.028244780376553535
1690914289.8599327,38710,-0.03253195062279701
1690914304.3467991,42581,-0.02274082787334919
1690914318.1807208,46452,-0.02648826315999031
1690914331.4506824,50323,-0.026828063651919365
1690914344.8314826,54194,-0.03052695281803608
1690914358.3451192,58065,-0.025301901623606682
1690914371.8330123,61936,-0.025677358731627464
1690914385.266899,65807,-0.028320230543613434
1690914399.2718532,69678,-0.028132960200309753
1690914414.6153162,73549,-0.034847062081098557
1690914429.2799566,77420,-0.026332013309001923
1690914443.9162333,81291,-0.028671810403466225
1690914458.1994243,85162,-0.02668043039739132
1690914472.569293,89033,-0.028257587924599648
1690914486.3940916,92904,-0.023265646770596504
1690914500.4464958,96775,-0.026082994416356087
1690914570.3791695,100646,-0.026521191000938416
1690914585.0380456,104517,-0.02686336822807789
1690914599.6796806,108388,-0.030384793877601624
1690914614.1882045,112259,-0.030002139508724213
1690914631.487539,116130,-0.030865110456943512
1690914646.8490963,120001,-0.031289488077163696
1690914661.424711,123872,-0.027687303721904755
1690914675.470377,127743,-0.028806619346141815
1690914690.064897,131614,-0.028471101075410843
1690914706.8259242,135485,-0.02421756274998188
1690914722.1920104,139356,-0.02380535751581192
1690914736.9558887,143227,-0.024422509595751762
1690914752.0925484,147098,-0.025504589080810547
1690914766.8038933,150969,-0.02920219674706459
1690914781.0891187,154840,-0.032319020479917526
1690914796.0685136,158711,-0.032390762120485306
1690914811.68975,162582,-0.03132883086800575
1690914826.9313836,166453,-0.029926873743534088
1690914841.579497,170324,-0.03338417410850525
1690914855.3067722,174195,-0.028653867542743683
1690914869.2946262,178066,-0.025920342653989792
1690914884.2127192,181937,-0.024543751031160355
1690914899.6378083,185808,-0.02788601815700531
1690914914.4992003,189679,-0.0293556060642004
1690914929.1881824,193550,-0.024559922516345978
1690914943.5810235,197421,-0.03775232285261154
1690914957.842033,201292,-0.03465006873011589
1690914972.5411127,205163,-0.0286408681422472
1690914986.179368,209034,-0.034653373062610626
1690914999.2456691,212905,-0.028368959203362465
1690915012.0398884,216776,-0.02892814390361309
1690915024.6647396,220647,-0.03338233754038811
1690915037.1712384,224518,-0.025509661063551903
1690915049.5942838,228389,-0.03453073278069496
1690915062.5873017,232260,-0.03440821170806885
1690915074.8536205,236131,-0.04220956936478615
1690915087.3214254,240002,-0.0379863902926445
1690915099.5619273,243873,-0.03196653723716736
1690915111.6192207,247744,-0.03202170133590698
1690915123.642797,251615,-0.033484816551208496
1690915135.9699714,255486,-0.0340181402862072
1690915147.960111,259357,-0.033589087426662445
1690915160.5958529,263228,-0.024355126544833183
1690915173.3096306,267099,-0.03474840149283409
1690915186.5095825,270970,-0.024703452363610268
1690915198.1152112,274841,-0.027475399896502495
1690915210.054878,278712,-0.024143414571881294
1690915221.8820283,282583,-0.027812998741865158
1690915233.8071077,286454,-0.03279801830649376
1690915246.132434,290325,-0.030141737312078476
1690915258.3604982,294196,-0.03179582953453064
1690915270.1948278,298067,-0.02896905317902565
1690915281.607763,301938,-0.033526334911584854
1690915292.7747793,305809,-0.03778936713933945
1690915304.3522253,309680,-0.03633809834718704
1690915315.8843794,313551,-0.03502001613378525
1690915327.262473,317422,-0.032978832721710205
1690915338.7029257,321293,-0.033586714416742325
1690915350.81046,325164,-0.025160888209939003
1690915362.6306996,329035,-0.026299603283405304
1690915375.3711007,332906,-0.027091452851891518
1690915388.6203804,336777,-0.02068052813410759
1690915401.8296654,340648,-0.03080563060939312
1690915414.9100723,344519,-0.032918233424425125
1690915427.2983105,348390,-0.04358361288905144
1690915439.682091,352261,-0.0274024810642004
1690915452.8908682,356132,-0.03353072330355644
1690915465.675623,360003,-0.036650873720645905
1690915479.7364597,363874,-0.021135298535227776
1690915493.4143949,367745,-0.02780907042324543
1690915506.9586363,371616,-0.027118001133203506
1690915519.0379868,375487,-0.02120569534599781
1690915530.7450051,379358,-0.03283040225505829
1690915542.327273,383229,-0.03167558088898659
1690915554.2995365,387100,-0.03525882959365845
1690915567.130094,390971,-0.029285376891493797
1690915579.8301032,394842,-0.03129880130290985
1690915592.240277,398713,-0.029898494482040405
1690915606.320092,402584,-0.02274538204073906
1690915619.954533,406455,-0.021518029272556305
1690915633.243585,410326,-0.025216829031705856
1690915646.5924091,414197,-0.024227358400821686
1690915660.212486,418068,-0.02875959873199463
1690915671.4070742,421939,-0.028664948418736458
1690915682.0103521,425810,-0.027151266112923622
1690915692.6993675,429681,-0.03194882720708847
1690915703.1119063,433552,-0.031039932742714882
1690915713.8476596,437423,-0.01990383304655552
1690915724.5322287,441294,-0.02131699211895466
1690915735.0691566,445165,-0.02438162826001644
1690915745.711231,449036,-0.02315329946577549
1690915759.5288882,452907,-0.023432468995451927
1690915770.8496978,456778,-0.025753647089004517
1690915781.8608704,460649,-0.023806080222129822
