Wall time,Step,Value
1690914163.7852786,7742,995.1558837890625
1690914178.840837,11613,752.1270141601562
1690914194.4180858,15484,504.34576416015625
1690914209.8305702,19355,809.11669921875
1690914227.1989,23226,1563.0330810546875
1690914246.1055357,27097,1944.8341064453125
1690914260.8848534,30968,2104.5322265625
1690914275.3348577,34839,2098.781005859375
1690914289.8599327,38710,2101.052978515625
1690914304.3467991,42581,2256.025146484375
1690914318.1807208,46452,2285.0751953125
1690914331.4506824,50323,2235.744140625
1690914344.8314826,54194,2366.8583984375
1690914358.3451192,58065,2416.0810546875
1690914371.8330123,61936,2184.57568359375
1690914385.266899,65807,2150.70068359375
1690914399.2718532,69678,2315.762451171875
1690914414.6153162,73549,2308.700439453125
1690914429.2799566,77420,2552.353759765625
1690914443.9162333,81291,2207.60400390625
1690914458.200424,85162,2400.564453125
1690914472.569293,89033,2199.749755859375
1690914486.3940916,92904,2351.290283203125
1690914500.4464958,96775,2279.232666015625
1690914570.3791695,100646,2386.5263671875
1690914585.0380456,104517,2053.4169921875
1690914599.6796806,108388,2428.185791015625
1690914614.1882045,112259,2043.9029541015625
1690914631.487539,116130,1781.952880859375
1690914646.8490963,120001,2028.6265869140625
1690914661.424711,123872,2377.408935546875
1690914675.470377,127743,1845.669677734375
1690914690.064897,131614,2210.52734375
1690914706.8259242,135485,2126.21826171875
1690914722.1930077,139356,1962.7557373046875
1690914736.9558887,143227,2147.99755859375
1690914752.0925484,147098,2327.48876953125
1690914766.8038933,150969,2086.78173828125
1690914781.0891187,154840,1736.08984375
1690914796.0685136,158711,2269.08349609375
1690914811.68975,162582,1801.3134765625
1690914826.9313836,166453,1751.4957275390625
1690914841.579497,170324,2338.265625
1690914855.3067722,174195,1702.6258544921875
1690914869.2946262,178066,2293.560546875
1690914884.2127192,181937,1750.9068603515625
1690914899.6378083,185808,2178.0673828125
1690914914.4992003,189679,1768.4112548828125
1690914929.1881824,193550,1822.9669189453125
1690914943.5810235,197421,2207.858154296875
1690914957.842033,201292,2078.039306640625
1690914972.5411127,205163,2154.098876953125
1690914986.179368,209034,2052.987060546875
1690914999.2456691,212905,2319.17919921875
1690915012.0398884,216776,1802.6590576171875
1690915024.6647396,220647,1916.8265380859375
1690915037.1712384,224518,2080.751220703125
1690915049.5942838,228389,1634.5445556640625
1690915062.5873017,232260,2155.893310546875
1690915074.8536205,236131,1641.1817626953125
1690915087.3214254,240002,2122.503662109375
1690915099.5619273,243873,2005.525390625
1690915111.6192207,247744,2087.508544921875
1690915123.642797,251615,2147.740966796875
1690915135.9699714,255486,2006.3463134765625
1690915147.960111,259357,2167.734130859375
1690915160.5958529,263228,2044.160400390625
1690915173.3096306,267099,1765.894287109375
1690915186.5095825,270970,2399.802001953125
1690915198.1152112,274841,2006.94921875
1690915210.054878,278712,2096.154296875
1690915221.8820283,282583,2141.818359375
1690915233.8071077,286454,2130.435791015625
1690915246.132434,290325,1957.6124267578125
1690915258.3604982,294196,2044.906005859375
1690915270.1948278,298067,1821.4351806640625
1690915281.607763,301938,2248.436279296875
1690915292.7747793,305809,1889.1993408203125
1690915304.3522253,309680,1845.9632568359375
1690915315.8843794,313551,2067.963134765625
1690915327.262473,317422,1774.6474609375
1690915338.7029257,321293,2008.6649169921875
1690915350.81046,325164,2353.529296875
1690915362.6306996,329035,1837.8714599609375
1690915375.3711007,332906,2097.87890625
1690915388.6203804,336777,2254.03515625
1690915401.8296654,340648,1935.292724609375
1690915414.9100723,344519,2045.831298828125
1690915427.2983105,348390,1892.2764892578125
1690915439.682091,352261,1870.05517578125
1690915452.8908682,356132,2379.03564453125
1690915465.675623,360003,1940.7283935546875
1690915479.7364597,363874,2237.046142578125
1690915493.4143949,367745,2086.468505859375
1690915506.9586363,371616,2174.612060546875
1690915519.0379868,375487,1998.478515625
1690915530.7450051,379358,2221.02392578125
1690915542.327273,383229,2101.302734375
1690915554.2995365,387100,2120.740966796875
1690915567.130094,390971,2278.623779296875
1690915579.8301032,394842,1998.7130126953125
1690915592.240277,398713,2323.02783203125
1690915606.320092,402584,2008.878173828125
1690915619.954533,406455,2276.826904296875
1690915633.243585,410326,2037.4716796875
1690915646.5924091,414197,1990.74365234375
1690915660.212486,418068,1931.4349365234375
1690915671.4070742,421939,2278.81103515625
1690915682.0103521,425810,2060.962890625
1690915692.6993675,429681,2315.593017578125
1690915703.1119063,433552,1878.9996337890625
1690915713.8476596,437423,2212.275390625
1690915724.5322287,441294,2136.827392578125
1690915735.0691566,445165,2129.677490234375
1690915745.711231,449036,2140.69775390625
1690915759.5288882,452907,2336.113525390625
1690915770.8496978,456778,1848.7254638671875
1690915781.8608704,460649,2016.6793212890625
1690915792.8117676,464520,2069.232177734375
1690915804.6480787,468391,1643.2711181640625
1690915816.3142757,472262,1657.65185546875
1690915827.707541,476133,1422.50830078125
1690915838.6689754,480004,1869.3468017578125
1690915849.537749,483875,1925.0526123046875
1690915860.2723734,487746,2002.2149658203125
1690915871.068632,491617,1511.205078125
1690915882.2786982,495488,2355.70068359375
1690915893.1120667,499359,2124.37890625
1690915904.488332,503230,1904.0997314453125
