Wall time,Step,Value
1690995328.9711342,4096,-0.03456100821495056
1690995333.2667394,6144,-0.036692067980766296
1690995337.6125546,8192,-0.04787025228142738
1690995341.9135053,10240,-0.04560232162475586
1690995346.2842155,12288,-0.041538480669260025
1690995350.7063577,14336,-0.045382943004369736
1690995355.1005116,16384,-0.04734420031309128
1690995359.4749107,18432,-0.04965195432305336
1690995363.8422298,20480,-0.05070483312010765
1690995368.2732792,22528,-0.050724249333143234
1690995372.6948845,24576,-0.044678252190351486
1690995377.0631065,26624,-0.03652147948741913
1690995381.3433309,28672,-0.0273301862180233
1690995385.6428747,30720,-0.018180973827838898
1690995390.0188448,32768,-0.014544453471899033
1690995394.4628556,34816,-0.01762254536151886
1690995398.8768709,36864,-0.02217353694140911
1690995403.2362163,38912,-0.012902763672173023
1690995407.7303026,40960,-0.011314627714455128
1690995412.2138095,43008,-0.011459767818450928
1690995416.6178653,45056,-0.011935856193304062
1690995421.0845428,47104,-0.008455089293420315
1690995425.4818265,49152,-0.010499631054699421
1690995429.7819626,51200,-0.008256412111222744
1690995434.272463,53248,-0.008313034661114216
1690995438.6993334,55296,-0.010785252787172794
1690995443.0810425,57344,-0.009277361445128918
1690995447.5644035,59392,-0.01030069962143898
1690995451.9141078,61440,-0.009204769507050514
1690995456.723577,63488,-0.009639938361942768
1690995461.505824,65536,-0.00911664217710495
1690995466.4741535,67584,-0.010369815863668919
1690995471.2436352,69632,-0.010104307904839516
1690995476.1457415,71680,-0.008726888336241245
1690995481.0111036,73728,-0.01846630685031414
1690995485.7699945,75776,-0.0099707692861557
1690995490.4525006,77824,-0.009948491118848324
1690995495.1180313,79872,-0.007542927749454975
1690995499.7353115,81920,-0.007104378193616867
1690995504.2356842,83968,-0.009009798057377338
1690995508.6416237,86016,-0.00935300812125206
1690995513.006035,88064,-0.007846013642847538
1690995517.406358,90112,-0.006939973682165146
1690995521.767576,92160,-0.008611696772277355
1690995526.2295804,94208,-0.008370966650545597
1690995530.6216662,96256,-0.00653093121945858
1690995535.0302489,98304,-0.007458536885678768
1690995539.4989815,100352,-0.008562120608985424
1690995543.9936614,102400,-0.0069017065688967705
1690995548.3794477,104448,-0.008439757861196995
1690995552.888942,106496,-0.006719134282320738
1690995557.3408122,108544,-0.006664106622338295
1690995561.8043518,110592,-0.0062662106938660145
1690995566.1929946,112640,-0.006370450370013714
1690995570.5989192,114688,-0.007085398770868778
1690995574.9177227,116736,-0.005964872892946005
1690995579.3563504,118784,-0.006218113470822573
1690995583.8302007,120832,-0.004937435034662485
1690995588.2790706,122880,-0.0056217447854578495
1690995592.6302004,124928,-0.00495167076587677
1690995596.9893293,126976,-0.006127656437456608
1690995601.3815556,129024,-0.007469631731510162
1690995605.8288472,131072,-0.005769591778516769
1690995610.256299,133120,-0.005774190649390221
1690995614.8070092,135168,-0.0059982649981975555
1690995619.3542924,137216,-0.005664919503033161
1690995624.0031471,139264,-0.004884361755102873
1690995628.4015586,141312,-0.006066558882594109
1690995632.7464979,143360,-0.005273329094052315
1690995637.0278738,145408,-0.005311315879225731
1690995641.3502052,147456,-0.005329526495188475
1690995645.8208888,149504,-0.005742345470935106
1690995650.3269708,151552,-0.005778653081506491
1690995654.7487457,153600,-0.0058144074864685535
1690995659.1105752,155648,-0.004523169714957476
1690995663.4998755,157696,-0.0053301723673939705
1690995667.8659525,159744,-0.004703936167061329
1690995672.4221673,161792,-0.005511505529284477
1690995676.9221096,163840,-0.005921133793890476
1690995681.5137937,165888,-0.004851080011576414
1690995685.9457006,167936,-0.00470309192314744
1690995690.4063306,169984,-0.004699684213846922
1690995694.8138244,172032,-0.0049887546338140965
1690995699.3133037,174080,-0.004878325387835503
1690995703.805449,176128,-0.004047909285873175
1690995708.3234985,178176,-0.004752536304295063
1690995712.733298,180224,-0.006031286437064409
1690995717.1062713,182272,-0.005487221293151379
1690995721.647395,184320,-0.005202881526201963
1690995726.033537,186368,-0.0049337949603796005
1690995730.5064764,188416,-0.00450771814212203
1690995735.0796015,190464,-0.00509006530046463
1690995739.5556116,192512,-0.0048164790496230125
1690995744.0662804,194560,-0.004819372668862343
1690995748.5533636,196608,-0.006064992398023605
1690995753.1306572,198656,-0.005145418457686901
1690995757.6900268,200704,-0.005205202382057905
1690995762.237152,202752,-0.0067452676594257355
1690995766.739242,204800,-0.0046929363161325455
1690995771.207509,206848,-0.006085008382797241
1690995775.7377217,208896,-0.004808762576431036
1690995780.2076142,210944,-0.004738155286759138
1690995784.6666663,212992,-0.004274493083357811
1690995789.1597896,215040,-0.004308235365897417
1690995793.7282543,217088,-0.004769195336848497
1690995798.2615726,219136,-0.0026690764352679253
1690995802.670245,221184,-0.004682222381234169
1690995807.2194948,223232,-0.004430039320141077
1690995811.650221,225280,-0.004330642055720091
1690995816.1161773,227328,-0.005227780435234308
1690995820.6330404,229376,-0.003665272146463394
1690995825.11445,231424,-0.00513844657689333
1690995829.7004824,233472,-0.004436363931745291
1690995834.0686305,235520,-0.00406272429972887
1690995838.48984,237568,-0.0042671868577599525
1690995842.9508817,239616,-0.005537418648600578
1690995847.4672534,241664,-0.005030638538300991
1690995852.063714,243712,-0.005022432189434767
1690995856.6607766,245760,-0.00504716532304883
1690995861.1594846,247808,-0.0050829267129302025
1690995865.5539825,249856,-0.00422240886837244
1690995870.0560856,251904,-0.0042631966061890125
1690995874.5545099,253952,-0.0050691706128418446
1690995879.0118275,256000,-0.004740456119179726
1690995883.484778,258048,-0.005285790655761957
1690995888.0456588,260096,-0.004609331488609314
1690995892.472367,262144,-0.0045850323513150215
1690995896.9289315,264192,-0.0049867634661495686
1690995901.4483578,266240,-0.004434927366673946
1690995905.932039,268288,-0.0038828332908451557
1690995910.4678955,270336,-0.005838667508214712
1690995915.0608647,272384,-0.0041136359795928
1690995919.6146128,274432,-0.0037119511980563402
1690995924.029322,276480,-0.004012936260551214
1690995928.4797292,278528,-0.004166878759860992
1690995932.8972566,280576,-0.004217313136905432
1690995937.2906733,282624,-0.0040101828053593636
1690995941.7110674,284672,-0.004748932551592588
1690995946.119152,286720,-0.003973363898694515
1690995950.5123165,288768,-0.004709640052169561
1690995954.901377,290816,-0.005154939368367195
1690995959.228926,292864,-0.004163555800914764
1690995963.6170125,294912,-0.0042150430381298065
1690995967.9863415,296960,-0.004548332653939724
1690995972.3773956,299008,-0.004166100174188614
1690995976.7442923,301056,-0.003664752934128046
1690995981.2034333,303104,-0.003696942003443837
1690995985.591334,305152,-0.004569878336042166
1690995989.9340525,307200,-0.004344611428678036
1690995994.3987484,309248,-0.004585613030940294
1690995998.7800062,311296,-0.003300708718597889
1690996003.1759925,313344,-0.0052164774388074875
1690996007.6839192,315392,-0.004904196131974459
1690996012.0837216,317440,-0.004096734803169966
1690996016.4754355,319488,-0.00439302297309041
1690996020.9295137,321536,-0.0036656400188803673
1690996025.3669987,323584,-0.00435777148231864
1690996029.7945538,325632,-0.004441619850695133
1690996034.2722154,327680,-0.0036253787111490965
1690996038.7003522,329728,-0.003777027828618884
1690996043.1929264,331776,-0.003972491715103388
1690996047.6763113,333824,-0.003614699700847268
1690996052.1387575,335872,-0.00315841450355947
1690996056.4353452,337920,-0.004172748886048794
1690996060.8638556,339968,-0.0032252315431833267
1690996065.3925924,342016,-0.004089538007974625
1690996069.8621564,344064,-0.003941862843930721
1690996074.2446067,346112,-0.004387248307466507
1690996078.6554432,348160,-0.004926716443151236
1690996083.0543375,350208,-0.00391818443313241
1690996087.412321,352256,-0.0036302325315773487
1690996091.8636298,354304,-0.0037667308934032917
1690996096.2792087,356352,-0.00536941085010767
1690996100.63622,358400,-0.004557874519377947
1690996105.1187258,360448,-0.003672948107123375
1690996109.668585,362496,-0.004326884634792805
1690996114.114066,364544,-0.0038805564399808645
1690996118.548655,366592,-0.004512416198849678
1690996122.9033453,368640,-0.0037443593610078096
1690996127.519066,370688,-0.004212567117065191
1690996132.2029004,372736,-0.004405778367072344
1690996136.7012289,374784,-0.004985438659787178
