Wall time,Step,Value
1690908453.5430818,8118,1107.7374267578125
1690908465.7922497,12177,498.9730224609375
1690908478.3591924,16236,374.8908386230469
1690908491.5701962,20295,620.8782348632812
1690908504.383776,24354,460.4757080078125
1690908518.380446,28413,595.0967407226562
1690908530.6804914,32472,731.804443359375
1690908542.6280644,36531,803.6837768554688
1690908555.0344446,40590,704.6381225585938
1690908567.727148,44649,1235.9801025390625
1690908579.7637029,48708,1561.7088623046875
1690908591.155156,52767,1198.7869873046875
1690908603.5499573,56826,1680.326904296875
1690908615.6823657,60885,1680.864990234375
1690908627.2379282,64944,1712.324951171875
1690908640.025785,69003,1639.48486328125
1690908652.6326647,73062,1695.31396484375
1690908665.031478,77121,1777.4979248046875
1690908677.624683,81180,1654.846435546875
1690908690.9222748,85239,1654.16552734375
1690908704.2355528,89298,1494.0208740234375
1690908717.4305358,93357,1839.3006591796875
1690908731.5524957,97416,1751.9156494140625
1690908799.2029836,101475,1734.3516845703125
1690908812.1348681,105534,1525.9686279296875
1690908824.965349,109593,1631.228271484375
1690908837.9550161,113652,1519.1650390625
1690908849.912865,117711,1494.03271484375
1690908861.9578736,121770,1692.5804443359375
1690908874.5102692,125829,1669.8519287109375
1690908886.4080584,129888,1701.5076904296875
1690908899.6294477,133947,1382.4151611328125
1690908912.3642797,138006,1646.548095703125
1690908925.6177988,142065,1627.25390625
1690908938.2169716,146124,1674.616455078125
1690908950.5387654,150183,1603.70556640625
1690908963.2413828,154242,1580.41015625
1690908976.3099983,158301,1327.3287353515625
1690908988.6719546,162360,1427.397216796875
1690909002.414161,166419,1592.6683349609375
1690909015.309221,170478,1682.173583984375
1690909027.4200907,174537,1694.1519775390625
1690909038.979531,178596,1558.025390625
1690909051.4062006,182655,1407.927734375
1690909063.2673297,186714,1402.8729248046875
1690909075.7435555,190773,1281.6942138671875
1690909088.1594698,194832,1524.9862060546875
1690909100.6279788,198891,1392.65771484375
1690909113.3202007,202950,1269.8477783203125
1690909127.175262,207009,1358.8958740234375
1690909141.0806088,211068,1640.00390625
1690909154.8681977,215127,1326.6368408203125
1690909168.7975757,219186,1445.570556640625
1690909182.2568474,223245,1390.493896484375
1690909195.769424,227304,1364.6148681640625
1690909210.407566,231363,1382.034912109375
1690909222.7169955,235422,1168.3836669921875
1690909235.6445272,239481,1674.05908203125
1690909247.2534297,243540,1093.01708984375
1690909259.143725,247599,1488.79296875
1690909270.6822932,251658,1481.44873046875
1690909282.1711373,255717,1467.9820556640625
1690909294.3501232,259776,1373.3739013671875
1690909307.2241073,263835,1576.0401611328125
1690909319.691895,267894,1319.0848388671875
1690909332.4332836,271953,1758.680908203125
1690909344.6265466,276012,1502.7884521484375
1690909357.353788,280071,1333.2764892578125
1690909370.3349767,284130,1463.2305908203125
1690909383.1673815,288189,1299.285888671875
1690909395.758388,292248,1460.911376953125
1690909408.5010788,296307,1743.6546630859375
1690909422.5813723,300366,1082.8714599609375
1690909436.7170277,304425,1470.96044921875
1690909450.535506,308484,1508.735595703125
1690909463.860418,312543,1389.5858154296875
1690909476.8871202,316602,1462.408447265625
1690909489.8848488,320661,1471.2926025390625
1690909502.7148664,324720,1350.9796142578125
1690909515.9403195,328779,1502.6317138671875
1690909528.9766054,332838,1290.0908203125
1690909542.2145774,336897,1343.591552734375
1690909555.136998,340956,1514.04736328125
1690909567.9636343,345015,1395.6439208984375
1690909581.237757,349074,1684.543212890625
1690909593.865459,353133,1445.677734375
1690909610.48465,357192,1388.1983642578125
1690909623.3709128,361251,1475.523193359375
1690909636.387714,365310,1275.90673828125
1690909649.6271195,369369,1190.8782958984375
1690909663.1630204,373428,1506.686279296875
1690909676.404321,377487,1538.8018798828125
1690909688.916443,381546,1471.837646484375
1690909700.5472426,385605,1396.353515625
1690909713.2803051,389664,1335.467041015625
1690909724.5617816,393723,1114.0052490234375
1690909736.0677998,397782,1388.8597412109375
1690909748.5834866,401841,1058.607666015625
1690909762.0139039,405900,1595.8046875
1690909775.6608658,409959,1407.4935302734375
1690909789.2406924,414018,1215.149169921875
1690909802.0428739,418077,1423.60546875
1690909814.8049068,422136,1447.6597900390625
1690909828.1842146,426195,1454.7525634765625
1690909841.1765099,430254,1113.8427734375
1690909853.9234939,434313,1024.3114013671875
1690909866.7557242,438372,1284.6827392578125
1690909879.6274657,442431,1280.4766845703125
1690909892.079,446490,1680.7869873046875
1690909904.9179726,450549,801.1130981445312
1690909917.6384556,454608,1390.029052734375
1690909930.4022038,458667,1334.9700927734375
1690909943.2984858,462726,1103.8468017578125
1690909956.83013,466785,1111.9661865234375
1690909970.6058903,470844,1212.789794921875
1690909984.0172453,474903,1399.7686767578125
1690909997.1838295,478962,1279.40966796875
1690910010.65685,483021,1235.3267822265625
1690910022.893075,487080,1258.984130859375
1690910034.9964314,491139,1271.322265625
1690910047.8956628,495198,1225.0272216796875
1690910059.925819,499257,1443.0203857421875
1690910072.2996178,503316,1550.411376953125
